t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
-1690.4321347915363,-2987.648883322509,-1683.4206789371347,1725.815242417341,4254.838269742903,4159.641269540907,2296.448067560509,-7.540939893671762,-1702.97658297913,-1838.072435104289,-673.9176166460664
-1556.4230575266602,-2212.6142618378003,-436.09757861970417,2839.2707035575813,4730.727621754574,4105.419527420031,2051.8338207586385,-238.61519663819124,-1805.7257913034825,-1775.3541433273172,-601.7217869679328
-1385.9663541128662,-1493.800759447056,592.8829839462245,3609.326238418425,4902.853902360505,3882.4847867729054,1742.295012358201,-477.24061869324555,-1880.6721851568682,-1685.4416247759746,-528.6477866670504
-1201.6331591289118,-863.9702257960879,1392.7961563371512,4076.7471034773102,4843.36288442278,3549.6921247866712,1400.165656329977,-708.3662982840287,-1923.9273134117777,-1573.7041918163716,-457.65638549492724
-1022.2765828803454,-340.04580693938914,1974.4138189967568,4294.258725508059,4619.277439577206,3154.179295199706,1049.5359055900446,-920.8265857142516,-1933.5769801437746,-1445.6317053075459,-390.713840470441
-861.2902255400165,73.90394502001134,2361.64408703021,4316.6584631314145,4287.393609208872,2731.382342030192,707.6974841470984,-1106.3166791895605,-1909.102243448231,-1306.3686792997612,-328.9377958991075
-726.3113320377742,383.0780178099367,2584.6660610028407,4194.654340029868,3892.7547540463524,2306.6904731919058,386.9380800885666,-1258.4369255884326,-1850.9678997735323,-1160.4851497890866,-272.80742651268463
-619.7397982002907,598.6676739619683,2675.1236862320843,3971.8955607818066,3469.420726298438,1897.7797155978421,96.26037605778791,-1371.9897548480087,-1760.4438276309932,-1011.945857165998,-222.37482938466334
-539.5688107787229,735.3517074936699,2663.315612805539,3684.3119110597468,3042.4170797163874,1516.97533380638,-157.2362383692456,-1442.646058795263,-1639.6622547172476,-864.2050257719327,-177.43953411089828
-480.2376673684837,809.6367454907152,2576.9534227875683,3360.8398632697745,2630.028019182032,1173.2449874091938,-367.4679750167342,-1467.0355127481891,-1491.8492954848339,-720.3420915073544,-137.67117013968107
-433.4280491720047,838.8593411786181,2440.9188530161828,3024.7468239257328,2245.876430244051,873.6039417814402,-529.05501903389,-1443.23887950485,-1321.6102437922373,-583.1634751058091,-102.68213213568957
-388.8724384634719,840.5440931530388,2277.4660748959786,2694.9676039342894,1900.4669646715854,623.8388260965999,-637.5928697761076,-1371.5619790633134,-1135.1107737209272,-455.22224746520817,-72.06167340877047
-335.30221208805403,831.8056788643416,2106.4237997870287,2387.0773271488474,1602.049100511948,428.557792144868,-690.415906072383,-1255.3635160720578,-939.9988696571372,-338.74334939021844,-45.38646621938645
-261.6322585464627,828.5654949517551,1945.1105564252366,2113.720904839023,1356.8047918731108,290.6784019359686,-687.6408027428641,-1101.6276547886084,-744.9668498395824,-235.47723600892056,-22.22207101979844
-158.37446931334318,844.4994706185757,1807.8614550195553,1884.5009647825814,1168.498651038147,210.57723122728464,-633.1586274245419,-920.9651438802298,-558.9543768305125,-146.5302293082304,-2.1264866232298987
-19.126651661307505,889.8114886058472,1705.2559986364145,1705.491113278797,1037.8478626751812,185.2265707316006,-535.1805451787974,-726.8316655279367,-390.11537798374184,-72.22923650845337,15.337787442490004
158.15209523209415,970.0907138384996,1643.3005632867307,1578.6682198429735,961.9493963779132,207.6898543835752,-405.9904525074073,-533.9677230603811,-244.77187325615756,-12.070331232874608,30.581882577792364
