t1,t2,t3,t4,t5,t6,t7,t8,t9
77.0801678283927,-58.15607455429586,-125.66860636985055,27.64090941111359,200.8112687658226,38.337820370761804,-317.4125197195629,-329.7061722637472,155.13940947229418
107.18205738396978,-32.5463939811705,-98.26698263604297,56.20639395416845,218.0148357025166,34.909841068787756,-320.7040548580129,-302.4177232795259,194.66299083529748
141.1496921365992,-3.456603139649644,-67.41614822282156,87.35886650699659,236.48410797833404,32.15727431574339,-321.81448562808447,-272.43871716214267,232.79812005121033
177.81789896115322,28.1369134925353,-34.03805439693407,120.30665895540466,255.63513096136276,29.786133253175223,-320.78311432911704,-240.03076219057203,269.2284426035788
215.9143615077913,61.147771722565224,0.8114707836545278,154.15414115695043,274.8321651321252,27.51358290172424,-317.69531691966955,-205.53987112190833,303.6324723716026
254.19202081324457,94.48954821408702,36.04646230989076,187.98979843991594,293.45374492316387,25.098122985601904,-312.6811318273217,-169.38600263760375,335.6878469585636
291.5412339841559,127.17151370070684,70.64661008639817,220.96696498870256,310.94815847643355,22.355337083573623,-305.91276760883756,-132.0455582568323,365.07754234012276
327.0687448247985,158.36936064077287,103.7343017304766,252.3679231233499,326.8718106566028,19.159231740221493,-297.59956850828985,-94.0276454410811,391.4979406996221
360.13747041813315,187.46556631028784,134.6264526557008,281.64580162785467,340.90763099914165,15.432265064572832,-287.979208369027,-55.845761834002666,414.66829810504197
390.36810778085834,214.05951996602272,162.85928102096773,308.442691788852,352.86434771170235,11.12912487170368,-277.3045017252993,-17.98737234500218,434.34078346062535
417.60944351072015,237.9521746652892,188.18828615449812,332.585969388937,362.66044838847773,6.219912843927503,-265.8260857683806,19.11550718963982,450.30995332194834
441.88816337877023,259.11309822809307,210.56867339746776,354.06746155937776,370.2985671161121,0.6776928803304116,-253.7721679259015,55.11130041726415,462.42038903685295
463.3504865836555,277.6390653918957,230.1230159601959,373.0115531833576,375.83669235146306,-5.526313934709819,-241.32738031381496,89.74618449873817,470.5713287504544
482.2071091562655,293.7127723102986,247.10302653762093,389.63854613466106,379.36202631689736,-12.418801472104803,-228.6133863637951,122.87119007855016,474.717500821867
498.6901433730544,307.5681904952078,261.85115897706123,404.2287291504091,380.97178187906235,-20.01286355927178,-215.674136066596,154.43776871085862,474.8659626139313
513.0266904776291,319.4660656250133,274.7657976947518,417.09100408840874,380.7630487232519,-28.291883426365274,-202.4684986207832,184.48207554904053,471.06945770145353
525.4292511885193,329.6797891053401,286.2715487772625,428.5379533995829,378.8315383898284,-37.192975158974576,-188.87239598954346,213.09986611071264,463.4174679341829
536.0992437883422,338.48901536993515,296.79415444664676,438.867350748919,375.2769698414403,-46.59442906421907,-174.69154852997855,240.4153291696786,452.0265901764516
545.2372052868758,346.1765389316961,306.73824782516573,448.34868574749623,370.21145903703416,-56.31104676685166,-159.68460950864778,266.54808556031224,437.0319855575168
553.0522682987901,353.0234331769319,316.46580220401074,457.21254987076406,363.76677325432536,-66.09992855337958,-143.5949543017566,291.582786829685,418.58138443460473
559.7643471919874,359.2983455780165,326.2737291088266,465.64080225905457,356.09677303088466,-75.67742214035289,-126.1879077572899,315.5452109538979,396.83253281071916
565.594864608309,365.23889071426544,336.37042531394377,473.75620561698645,347.37266657548787,-84.74587264581828,-107.28898914223456,338.387598478505,371.95417353606933
570.7452151169166,371.02577595674984,346.8527564726137,481.61143683255887,337.7705449570116,-93.02688797087961,-86.81808462000163,359.98445184470245,344.1298583614925
575.3657169596913,376.75298424519315,357.6865016178307,489.17867798504767,327.45264121869997,-100.2964016067844,-64.81452871832326,380.13844284381275,313.56327503272746
579.520750147011,382.39938056518235,368.69421122823945,496.342014386856,316.5454319948767,-106.41615038982621,-41.44898285865813,398.59472812097977,280.48348546452985
583.157485599594,387.8080170555214,379.5544462419715,502.89532201565817,305.118722580526,-111.35642813409368,-17.01967515417175,415.06106565599555,245.14855758732654
586.0857371831313,392.67896593907915,389.81538828911823,508.54808253530734,293.17002721540194,-115.20609844855468,8.067225793193217,429.23074252078635,207.84648979743852
587.9750308526459,396.5797956561273,398.9240064925597,512.9406625864352,280.61786893619177,-118.16765537878132,33.33096374777564,440.8054359491547,168.89295168763275
588.3723204581688,398.9751788638951,406.2696904931421,515.6692329579389,267.3062500467424,-120.53728710573662,58.25904552029152,449.51562140074435,128.6260391225913
586.7404472589529,399.27410718444594,411.2389678631824,516.3189752790531,253.02078124644137,-122.6720486918928,82.35394589022482,455.13685945586036,87.39881438869882
582.5140802939827,396.8903548072497,413.2760582973495,514.5028382255036,237.5151467852954,-124.9480320432269,105.17754984475481,457.50108782563797,45.57076554982873
575.167070350553,391.30966952601347,411.94290863559974,509.90211541383445,220.54503531449942,-127.71457434658655,126.38775748196853,456.5027953990531,3.4994282453435814
564.2833222683414,382.1559971619903,406.9721652697493,502.3046730837593,201.905603710054,-131.24994218131968,145.76310272258903,452.1005804584428,-38.466715841005595
549.6226452015379,369.2489814056588,398.3072565819844,491.6367883933124,181.46807175067337,-135.72357823378366,163.21324347542986,444.31504624895274,-79.99325612007077
531.1735703046354,352.64595048268717,386.12520827767787,477.9851954501119,159.21116586251352,-141.16902807219083,178.77536758324533,433.2242374115133,-120.76238105246252
509.1866476442744,332.6633813840791,370.83973125643763,461.60693276433733,135.2437513057144,-147.47027739036335,192.59851758064096,418.9578585744492,-160.47293240524724
484.1839533206026,309.8751124984594,353.08420184758506,442.9257702137927,109.81597483719162,-154.362654851679,204.91923714178492,401.6913449570395,-198.83837677825076
456.94311028446975,285.08702376432353,333.6761150547554,422.515201076675,83.31742858524245,-161.447907900012,216.03259093672642,381.6404996645166,-235.583376167632
428.45671766739474,259.2902157561733,313.5662111855324,401.06908389013967,56.262095429461425,-168.22171160742542,226.26248121602515,359.0569294648661,-270.4398251617504
399.87041033477345,233.59665564625934,293.7766163837983,379.3619247151387,29.26102740083347,-174.11083893535476,235.93440900062785,334.2239893299223,-303.14329579883224
