t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1585.4390535286957,-7190.387251627394,-7490.634265829982,-982.6222744302827,4149.649877747445,3850.230617075307,406.4503629801271,-2149.6923365763078,-1250.935023006428,-167.79721439063704
1450.7932776214518,-6406.3337594305785,-6532.630800929615,-380.73748357097725,4012.3902024994063,3366.7215448510506,-40.02477423892664,-2088.995591638989,-967.2911086103234,-81.24208045256619
1538.7924266905009,-5672.823858382889,-5756.306407155144,7.012113457733527,3751.3022510449464,2881.2322899185783,-341.6524578755073,-1891.5700618461572,-706.3883831461917,-22.17744938151267
1639.7721325696077,-5280.134090665114,-5189.182135864674,261.46496069890617,3445.5931389963484,2443.640263512735,-502.0380054060789,-1628.9347943599762,-508.65943169942295,5.243605638817134
1582.6413621611084,-5213.7770212602545,-4737.813855879162,467.3555773508335,3152.7319756306415,2076.395036062067,-556.6997918911582,-1367.6385864219228,-388.42444318513634,4.500043455239386
1307.2186872679556,-5256.000537883496,-4285.241608172241,675.7797559937635,2899.135334704654,1776.3599164193529,-553.5257819004677,-1149.2546655122096,-335.67226242021997,-15.619007600686768
874.508481960049,-5176.0740463223365,-3769.1333148723975,893.6443480334996,2683.9221110493927,1525.1423246357494,-532.7271347890043,-984.4484851537311,-325.7739955944283,-44.28618202114592
416.9641181736699,-4870.085273273141,-3202.4550552275514,1097.4507256552497,2490.912036941917,1302.0995887015413,-514.4936213404043,-860.1824146470667,-331.5819344852947,-71.66996042605669
60.650120424547985,-4384.896314397393,-2643.757870156798,1257.474844074211,2302.258683676767,1094.6910536516446,-497.48236163280797,-754.0868459502658,-333.1922820000981,-91.02400323222274
-139.5218028905616,-3850.969608532524,-2150.6897082870582,1357.5144776743043,2108.257122165436,903.0199426030027,-466.54054517128435,-648.9119680684398,-322.8099604371268,-99.56978813987558
-221.94516902299827,-3392.008262200884,-1748.3699549414582,1401.989225845852,1910.584256645269,738.0263808034875,-405.0998024893295,-541.5422930396454,-304.3076258168302,-98.21906584702582
-292.2969385993659,-3067.6541867729266,-1425.2549540503298,1410.531264956471,1719.3034875872474,615.1771008145901,-306.70346991580374,-443.98213053716967,-288.74327032149296,-90.41163246759157
-467.3920214976661,-2867.353293497669,-1150.1500157742862,1405.8511664900116,1546.4692752226758,546.9909592703216,-181.1144810161649,-377.0570862174383,-288.1248813934681,-80.51574754933925
-818.7999325487331,-2740.541244920646,-895.2163307292496,1402.1553020294275,1400.303003420078,537.6487725661098,-53.02799340035082,-360.3056609741965,-309.8966690912827,-72.30008381764914
-1341.8125681198662,-2635.5789351691687,-651.5591969885522,1399.6168748243451,1283.1583287399994,581.2385326818631,45.524360413320025,-402.64097006795055,-353.9366799992843,-67.89065193311988
-1959.725488454613,-2525.1251411873513,-431.1031723920925,1387.0484521911883,1194.0230073042474,663.003354090805,85.83153152588936,-497.4966234082709,-412.6404724125847,-67.40732641018259
-2556.391996616128,-2408.9037187445883,-255.77472228733023,1351.291209519493,1133.211161963101,761.9200757785981,52.40908288815857,-623.9748546823015,-473.4986907646062,-69.23421291910391
