t1,t2,t3,t4,t5,t6,t7,t8,t9
2987.8329190980676,-4110.49374401312,-5010.407856683197,-553.3193661048791,2440.967884891627,1966.6018833975156,31.70617729446199,-912.7005916745444,-346.47587773850086
2287.834969115925,-4863.241717631126,-4824.167597398865,-24.81287475545467,2602.899214228024,1821.8971659328595,-246.0031523894886,-998.3396526057852,-326.3425930894635
1640.5626169540215,-5249.023547403888,-4411.448694265967,463.94289608336453,2681.0575896255928,1628.0285018090476,-504.70690487665075,-1028.4329880557646,-291.6146052555768
1121.928317364641,-5229.049605276381,-3848.86613421233,870.9960161190351,2673.338342534322,1400.9108017032045,-718.6100793405615,-1000.8730563319596,-246.27334901875207
779.5589342050798,-4878.275706036208,-3236.778091359323,1169.3542318319537,2588.283344798712,1162.0504906978697,-868.1271799363849,-923.4363519553624,-196.04656916779413
616.7545243403674,-4352.582740880246,-2667.9309117276425,1352.7317577861743,2443.3635866104028,933.8208622948781,-944.829678099231,-812.0431110712045,-147.17566318403368
591.5501042661824,-3823.629056218069,-2201.2763929327343,1434.9319462117394,2261.088841353424,734.5241821632255,-953.0694551773197,-686.6826021773363,-105.11560465577573
631.55542941054,-3414.914157705685,-1851.492977649057,1443.5261240697557,2064.304462035645,574.9292468781086,-907.8660490252211,-566.581546680881,-73.57793873885335
658.2622234323702,-3168.5974405463794,-1596.268611076576,1410.6432238975524,1872.1180453408447,457.2004366877279,-830.1832563109795,-466.2657807602011,-54.12506049611752
611.2385985475012,-3052.2653574390733,-1395.0317065049794,1364.3199198603556,1697.396809678115,376.0975229499362,-741.4761587050689,-393.4896218893491,-46.28366710940374
464.0343112060599,-2993.457868548158,-1209.123229843408,1322.9741815673792,1546.0765389267187,321.62424167286133,-659.1616004213488,-349.12475744741016,-47.99805498214288
227.83466377994716,-2919.9657211923327,-1015.259118922782,1293.9161413678437,1417.9962590559155,282.17039339330574,-593.8950465439938,-328.5082689669591,-56.227178978991795
-56.635547409189996,-2787.743753352073,-809.1222758650251,1275.2911158144002,1308.7482994182428,247.42938552720244,-548.8157445351375,-323.5881782397824,-67.55216226767858
-335.2211409046748,-2589.313406878816,-600.7539881430663,1259.9856196526648,1212.0107543680226,210.63972318846191,-520.5275865937872,-325.3038546243527,-78.72767751998006
-558.9927568416742,-2345.834819182344,-406.0134784762039,1239.8750887408132,1121.858079666631,169.82928024141012,-501.41511134936576,-325.7704577220554,-87.13932640073968
-699.7007030132393,-2091.260969107765,-238.46154987446968,1209.1339134042205,1034.5794620022652,127.81981577942238,-482.74226986290665,-319.9125956453233,-91.12607772627483
-757.516468021591,-1856.9920157589293,-104.48561791450112,1165.904449031474,949.6383443909106,90.93843651606242,-457.79287565782,-306.268116947237,-90.12331783070326
-759.1978010263634,-1662.33777910091,-2.470721199478728,1112.2409834437453,869.6414057894885,66.71357887928161,-424.22378618850416,-286.8383827501113,-84.60220909014566
-748.0854858596191,-1512.2297045184362,74.81788826137077,1052.7791194956142,799.5012496475482,61.159395333521005,-384.9727495153462,-266.0956502348205,-75.82445186618075
-769.9457079036696,-1400.595651179376,136.358052219881,992.929303488479,745.2154185326128,76.38499118931419,-347.49590011520337,-249.4827370237518,-65.47778464364703
-859.5534049853089,-1316.2789327214352,189.34385418318197,937.4742339653868,712.6907243911838,109.138065189384,-321.6328231204013,-241.85122271396258,-55.28340172541143
-1031.90908836562,-1248.2952557141157,237.42648435410626,890.2238646612223,706.7947543749221,150.60765639005436,-316.7868871255754,-246.23960090728997,-46.66136735659498
-1279.8412818819613,-1188.1773465263802,281.3907748315406,854.8728709658347,730.4723205589726,187.53400698147274,-339.23527010876444,-263.23153988686386,-40.51037412459475
-1577.5483486232458,-1128.7385307935463,322.0051130578392,836.523377610961,783.5881793387096,204.4932725314979,-390.2607141691182,-290.94100473145113,-37.119893585764856
-1888.1546849141878,-1060.474603308405,363.7637967144982,842.7093970412001,861.3725487309509,187.09287723528328,-465.52999122266834,-325.51894060665325,-36.200537422036675
-2172.8109786741384,-968.5866197996896,417.36156434223955,882.5581453510513,952.969770804386,125.61174036750235,-555.8391651023827,-361.99492165901574,-36.998321802717626
-2399.0439202135917,-834.3250018030968,498.5587484629332,963.3637543534156,1041.3174547461751,18.297472619310966,-649.0608476051985,-395.2438026543649,-38.448408944880704
-2546.60554224328,-642.671248018046,622.3835353119086,1085.4799525391252,1105.8191939162323,-126.78584334739031,-732.8792837434879,-420.87141517469706,-39.319909928354626
-2609.7098342409286,-393.6688058633393,794.6480179635466,1238.484711289574,1128.4231120363836,-292.49209058106504,-797.6968898110227,-435.8238698415077,-38.30682162606322
-2595.1678870006244,-109.1194707105451,1006.2557957760644,1402.5571039342315,1101.7047070531908,-456.48951970403056,-838.9791541211348,-438.54804775809015,-34.03954563534223
-2516.6238588043257,174.64622041081387,1236.6919448068777,1557.246519891092,1035.2595030185942,-597.7361653140828,-858.3374474967851,-428.59980354908964,-25.035118784123355
-2386.0542588810877,428.60647140451294,1468.4618100012908,1695.0022972823504,955.8215704375705,-703.5819385708184,-862.8882191447105,-405.751384728075,-9.666503061796833
-2205.017532711182,652.7611743697048,1704.904019865183,1831.4305063493157,898.4826940552459,-774.7094139805265,-862.8765772996151,-368.89443811050927,13.719457193584809
-1959.456745367515,874.5567702522301,1976.3749064564122,2002.8080515264542,890.998063003558,-825.4945620659929,-868.1275587996244,-315.28887828379453,46.42014115877857
-1622.131082406277,1114.1272490378794,2323.036296676538,2247.165023104697,938.03345514538,-879.0476537223026,-884.4083242069025,-240.79651709742973,88.73022009279532
-1164.7311400155393,1338.136716314243,2758.5358167160994,2576.3250394796037,1013.9445375352545,-958.5074166510897,-911.0114523372031,-141.4754535690685,139.2184846953378
-577.1374606356082,1446.468530731247,3237.553591454692,2955.261513182227,1069.3469942381232,-1077.9496864756059,-940.6069919705553,-16.26414316587302,194.28066631664277
114.07492763211707,1319.987763825496,3654.698506268876,3304.1183881889456,1049.6873080465675,-1236.5628409075052,-961.6384265165373,130.2903723771426,248.32491184791678
838.3316657365646,907.1695460329164,3884.3926580547163,3525.887220996158,917.3811811959445,-1418.347612508124,-962.5051531243228,286.72211972249147,294.7292479525112
1492.1846362560382,285.74506614224777,3842.094082959849,3546.6279477480352,667.0154788837788,-1597.2304359447874,-935.9488629655395,435.86939120689385,327.3545844738534
1967.6408878546843,-354.39997755656526,3529.5146327794887,3346.6546574246768,326.9000064088798,-1745.3174137472083,-881.8912036432512,558.67220571958,342.1020697225251
2187.3161750597874,-802.6656858508236,3035.5641773609896,2966.4890942656207,-52.54052612998632,-1841.0317293385876,-807.588494216825,639.3319438888885,337.9512359734677
