t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
16463.76182509101,-4872.824894708111,6311.747587823451,10150.18451309336,8028.420263923071,76.0213262477246,-6611.14029837606,-6974.585251105387,-7647.938145327059,-3650.033804007419,2396.201420871312,2697.5419866252987,1140.583255449441,369.081629710101
24566.657556467853,-6556.475361351707,6849.406770290364,9427.128010295375,5903.885428741207,-3055.3460323288523,-8422.643338497508,-8762.340983766324,-10728.28519557229,-3984.159368990968,4358.61435451541,4201.959676812664,1557.4812700847447,302.4438825642001
34571.200514463504,-8753.749714588508,1706.4989541929394,7084.460738103541,3513.099990942503,-8013.585213459178,-13635.099812474658,-13987.326689658099,-13658.801186119801,-528.6928613451674,8051.588255393536,6277.074293235728,2316.4556908727895,328.50160507240156
42156.20064499192,-21877.648502653592,-3073.8292571267466,11999.398536723622,7165.258821188061,-11378.558824968355,-20743.54397761421,-20325.756169553217,-13168.689727269502,6114.722303034325,11860.155613871628,8305.005060495265,3028.8612349204,308.1975948478092
41677.89298726104,-32896.465999315806,8271.059494830813,27707.39040354452,18787.50169850132,-9166.546629233311,-25080.67039476246,-23495.010145297845,-8650.006157907188,12406.873691334553,14066.484655879342,9400.33815167653,2919.6744246077324,62.37355582252917
29890.82696385267,-19270.311064030157,28171.57712720078,39831.02262791754,28859.190313095012,-3818.4452395644853,-24535.260001694198,-22177.827245266097,-3314.632525220519,15077.691731353141,13901.229477592055,8724.181012240235,1556.3487092432697,-362.8161406765837
11277.651671752868,3443.3430016687803,35361.00561840911,38359.266612096086,29742.54019698999,-1052.5031576345525,-21818.624362987965,-19171.029428601076,-555.0923255671376,13998.524098086622,11941.76622318259,6300.46878891161,-511.4748447219137,-705.3120482842095
-4131.999208564764,14226.78545038361,30140.63427836959,30251.37312682121,24960.714964044215,-1841.2757916069922,-20028.08853617667,-17464.924736032197,-550.1732736563873,11782.237885058974,9742.984087925468,3258.4812796319184,-2281.790675466126,-795.4269427506223
-9370.658542636234,12578.175472548859,20267.904951266268,21291.242058361946,18869.065944214963,-3747.065154980198,-19446.922778244392,-17364.932981083333,-904.6457489731031,11180.417782416638,8786.246771640706,903.9065157649472,-3261.2015173273576,-697.852478073955
-5199.412813691222,-1372.2792395121162,7861.068136844544,12679.068992477518,10961.427618239784,-7047.659252854202,-19678.226940770197,-17701.636167708893,437.50384123215474,12953.778388252738,9447.377472360393,-273.7420003399501,-3601.2017078664703,-559.7608270986991
1982.313718085177,-20775.518816515883,2328.41152276673,11232.483504456526,3747.915569351954,-13030.51516581653,-21316.115885026313,-17729.61071764283,3553.2695135649506,15778.322988321403,10883.917004511126,-640.3567265181383,-3630.956180980639,-466.2648264407983
4962.0049390010745,-28399.560370694086,12239.392150485137,20899.08223571757,3037.529243623709,-18841.08475877662,-23691.607480597562,-16840.34109271415,7199.193629858072,17736.69386823643,11857.508622819572,-822.3331002688858,-3575.9430351501073,-449.08683870385926
662.1955104262097,-15451.355896608478,28822.072315184578,32590.823386121676,8627.72744966982,-20053.67166226063,-24178.678355443775,-14285.139908593103,10029.137052134563,17733.215432484725,11602.942113920028,-1240.5804376189963,-3533.5671645489283,-517.1351093856616
-7432.152174617133,4901.243829501678,34951.629885707276,34583.00980293447,13773.050389049315,-16372.22802790166,-21243.396368778314,-10202.654449520809,11205.94444719567,15813.878897060624,10058.051919541209,-1931.3651064825128,-3416.5385145689743,-619.461311081722
