t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
51340.2673979196,35835.4678617111,20271.166147272008,12723.092545047499,19956.704604462226,36110.08689563325,46917.58337630213,45390.289832038114,34863.4119281219,20731.841095737334,6021.189822361646,-7073.931550167459,-15043.564826914026,-14787.178595033654,-8355.944776323202,-2210.893011471902,143.27541459502356,187.1008692629894
43348.29558648418,28579.63884418984,15824.13104363146,12605.219551658582,22575.663995712213,37193.69022525074,43902.27887246021,39386.88603794263,28202.904302034774,14832.089051871384,1527.8666327075014,-9367.035299159777,-14168.358905066594,-11101.370635835714,-4241.99084112407,300.0030712882194,1110.1289747317924,420.2872327346473
37101.709674575,23460.634387339098,13547.702949624734,14038.704298334767,25687.341428637254,38254.465842793965,41395.681950578466,34723.67459080614,23236.918042398724,10504.914310429116,-1628.015383272108,-10451.718999215076,-12334.590472144768,-7177.283147190217,-589.1222658660738,2355.28651936923,1937.1077628378423,640.5742360762746
32110.062861359555,19822.030189015302,12615.359189104076,16132.966403290404,28580.485290029257,38884.73119276704,39085.6813384154,30947.39849724451,19390.456330626526,7214.936226760563,-3792.9347849365195,-10432.43391327698,-9508.320346283685,-2917.982187101399,2804.394735084806,4125.476491983445,2646.120929524993,824.7083951626354
27842.45587249865,16983.569387297644,12176.859253431598,17968.41961219313,30502.28158643465,38598.528409174265,36570.979511945065,27584.44602694555,16176.164646516752,4618.996112758165,-5035.050241716475,-9146.020299867203,-5565.28691402486,1637.523893593691,5871.954016337755,5546.036125236347,3167.405120165613,941.0628759063803
23787.00857702456,14332.593900904234,11497.34346638014,18772.703274822372,30827.641344361775,36961.96338425977,33458.21222379936,24215.40981401954,13255.055892011189,2610.0015521956757,-5185.893878307531,-6407.457658336665,-695.6825078099542,6019.452585634914,8245.324732657124,6424.0691256467035,3411.3706990615037,965.4796626786155
19611.738865379473,11510.90874164575,10181.822263753378,18166.84860817815,29288.22562971352,33788.765925443,29529.60549786239,20605.774257895868,10507.552717950022,1275.6950500296907,-4092.090276876891,-2456.912634802671,4273.374903409513,9369.578149777684,9475.148478417239,6598.624984310633,3328.080386382356,894.6147558353159
15314.468226801175,8555.660920844488,8325.534824103659,16331.797816531425,26145.82659737965,29312.457668624622,24894.612931669715,16794.67898253835,8007.189025978911,692.324091003342,-2003.0168529286282,1749.8796570213171,8048.680838218896,10885.11419058957,9340.305518497313,6060.145204757693,2942.045063195703,753.2804979077355
11201.395998551656,5832.2186467132815,6418.948912132056,13915.786368444971,22130.52552345724,24163.389852905257,19973.74038682669,13028.325191483773,5854.0089631045685,658.2042660287033,251.34955311956185,4827.386413401185,9560.836162640258,10328.86224897374,8009.625171110886,4974.675925493,2355.3583650607648,589.530665039351
7668.26004337193,3759.199092668689,5016.234151343414,11677.606192340203,18113.288781067396,19105.946769294256,15285.941481089154,9562.66391807784,3991.2403907744133,632.0165613014562,1588.0915907836948,5742.643411113345,8624.06631942416,8170.902723951154,5957.499157107019,3622.081450818936,1719.0370614474487,455.9611287199407
