t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
-17334.493461820508,-20697.6629822198,-23279.084774694977,-24520.497875117122,-23837.340961961927,-20891.449775180066,-15976.221834625569,-10271.740772914207,-5610.138946622719,-3586.3617969717893,-4431.974005440674,-6599.3508536094705,-7719.400754271748,-6378.887284949791,-3168.6038849485326,-9.879899143488437,1525.5931431641554,1283.80989701313,247.99248787843004
-18670.752933672728,-19306.58830263925,-19308.28495998969,-18377.871777396897,-16369.065585619064,-13476.66675459167,-10346.599619259174,-7899.113512298313,-6799.184770587935,-6896.779220401084,-7236.125129932329,-6852.820911570806,-5662.862891656712,-4421.941916186503,-3746.2912070030243,-3404.707054062672,-2755.9316023585093,-1678.601176629627,-762.8840409367906
-21920.227607275134,-20160.973286740453,-17884.55229046577,-15084.998960100234,-12110.573941358027,-9694.886101141155,-8661.476081871493,-9264.685373957369,-10621.363115788703,-11040.171799323685,-9455.108471373233,-6723.550805638991,-5062.617439273141,-5775.550441716826,-7745.530155519406,-8554.73742760274,-6949.404098845518,-3896.776920948902,-1411.6948892100067
-25024.81419436313,-20680.013911649643,-16321.416936793896,-12464.634581816905,-10058.055083817022,-10087.799468053601,-12678.849298284196,-16248.687196315746,-17905.218125314605,-15655.004972945346,-10764.701218851673,-7292.283223296722,-8324.74049460071,-12725.56307731212,-16200.160647125676,-15456.090450425216,-10853.646347719507,-5354.321310223252,-1735.694653391647
-25031.56876353852,-18635.36970318992,-13636.590038234406,-11355.909282652796,-13083.822960887659,-18860.64218490748,-26170.99789537964,-30290.1786713778,-27529.834851956755,-19361.40700359995,-12503.717225407532,-13107.182571646768,-20563.63755193695,-28066.027837694597,-29209.00127937406,-23156.258516915364,-13877.540909060366,-5998.1258425088945,-1804.1828833997743
-18175.325798812355,-13603.35607171368,-13012.421098139734,-18272.066299862105,-29498.401567030618,-43102.12737613983,-51793.96921851567,-49022.26455820125,-35905.59727199479,-22976.17537233748,-21723.936275587694,-33265.9101406329,-47181.21719259324,-51850.14469892644,-44160.27057367895,-29506.640391895093,-15333.648601051009,-5973.587765813906,-1799.9609702393786
-7049.738802784538,-13501.468019735205,-26506.722968212343,-46656.79955310247,-69632.06283703225,-85496.12870439228,-83881.69422804948,-64389.31574716091,-41878.46601943237,-35986.01516735477,-52082.461963669615,-75496.27508949941,-86391.63688160393,-77262.07083265249,-55201.002621906904,-31974.786684122057,-15095.768419015183,-5903.429663358825,-2086.5574281936797
-10548.381042964855,-38567.34538932553,-72074.90781637256,-106860.92497886268,-131443.8571393222,-132011.38783899424,-105575.60142241686,-70393.54905850755,-56024.404937690364,-75591.69939882706,-111106.88358732063,-131606.04991176332,-122037.63120773877,-90874.57337221604,-55940.33952496188,-29487.94459559947,-14246.17684976885,-6977.11043253723,-3158.0288124532726
-57228.0202338266,-106065.7238206751,-151843.05015687735,-183297.1528024357,-185197.90303527645,-151986.37679279957,-102960.00747564936,-76519.33315764798,-96429.68614786981,-144588.21249793697,-177785.61130310514,-169836.5454828975,-129188.09624561197,-81146.54003839278,-44490.70616278892,-23951.221607678723,-15011.52493575616,-10523.940195322099,-5349.596036514317
-149408.8065169476,-197103.19013119506,-227611.80060537878,-226460.3413616648,-186598.59529835824,-125368.73897006125,-85289.74400315301,-100804.69880494838,-158730.73701584304,-206205.17650741132,-203179.55811399996,-155057.64866170942,-94789.22736229477,-49306.98121851978,-26208.443445205427,-19644.35235774876,-19532.8372188032,-16999.2186859098,-8381.478288006163
-235317.54301785224,-250118.00680117164,-237908.02634778316,-190828.88252193033,-121551.97511843593,-69633.84002791476,-75964.07800438606,-137082.1247203458,-197653.469662601,-203856.59427064908,-153355.1864784497,-84375.01021012852,-32842.94067591284,-10446.147581685174,-10506.236027773488,-20377.1498248998,-28050.124250814086,-25020.73351800132,-11169.415770215668
-245423.99762695286,-213671.01015097016,-158665.81662326577,-86731.49282233624,-28070.859741740638,-22572.69983847193,-78118.56054792684,-146989.39848156343,-166435.47085398439,-121316.32416750738,-49310.18401245913,5525.906990056178,25816.285884647175,17806.029844639048,-4247.427861318694,-26680.319488624184,-38041.082450537026,-31560.96407782767,-12350.434271519349
-164446.78876766135,-102946.52147311321,-33737.59751365529,24916.697447783234,41214.54407623091,-937.8107410376007,-69977.92546606775,-104037.77073086801,-72884.97676956427,-4947.968073473074,51279.27633029513,71126.35335440337,58247.923215462455,27289.248558188374,-7863.4118128548125,-35499.1949027505,-45385.357417917294,-33642.31044613329,-11269.053760565243
-45096.277146303604,16252.246707427279,68697.9690383478,91463.6876724908,66362.97284276508,6435.105833610865,-38831.20094478481,-28049.0681927011,28012.212689396027,83705.38307856488,106650.0528119253,94887.02788723804,61910.73434974841,21236.86589462698,-16822.573913203752,-42428.9432406285,-46824.96315888239,-30304.755659712886,-8482.97361810391
49466.30010868815,91320.6048627595,114983.38004884867,105245.64127136621,61236.79079249144,12791.026794231928,2146.3012652621574,39074.11381690197,90539.7106191786,119286.33812403027,114609.59271418909,86463.44708931267,47895.312885477164,8005.3225562073185,-25672.537202256743,-44368.24212253359,-41784.47968120653,-23123.223701896084,-5264.592799502639
94974.08568359913,114776.20082288524,114995.24609003031,88391.25339533438,46014.502591066535,19640.738127582394,33319.77604841935,74417.17485247176,108311.30924198835,114466.51190345219,95847.53070095248,64225.37153274901,28598.41672410982,-5255.801562507133,-30907.36227681072,-40734.027688473725,-32318.714050860497,-14938.886994846434,-2666.149360647313
103098.92245864178,106978.44469938819,94054.67919537697,63544.319356507505,31601.63992445343,23957.154880507285,48117.23271703261,82099.24947040186,99398.77866729473,92793.53014255344,70301.34427808423,41309.24203246037,11438.428996224007,-14885.93792641237,-31536.96934200571,-33036.95538237612,-21600.587315184355,-8083.961902464138,-1030.326518507089
94504.940587167,88929.640695286,70323.13804293686,42100.2957344719,21258.767217189128,25673.69852175328,51750.860502285956,76339.83727488806,82254.88496539179,69991.78019544634,48063.05479657736,23099.597474687944,-1035.5670137020454,-20043.03376947795,-28324.33985294363,-23673.080336301857,-12243.96415374142,-3468.392832270814,-147.21943705719457
