t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
-11141.380251120507,-8419.567999753428,-5552.041462189749,-3576.749890823719,-3832.9772822183213,-6272.070416632715,-8696.053169529167,-8812.074864144146,-6590.649293328798,-3711.7191472824475,-1545.3869026011332,-385.05716265529435
-11891.919824706574,-8541.80580836117,-5562.919569128533,-4292.4798191605405,-5820.551974629432,-9093.89134164495,-11116.717638647897,-10030.347773527154,-6840.487057828482,-3641.9427427319724,-1528.0861016249164,-426.22681475129855
-11902.756072187805,-8225.873202989987,-5608.437035710024,-5540.860434191166,-8483.09001211303,-12165.696958030963,-13182.461992897552,-10664.916400944194,-6686.673208607323,-3430.3211649670056,-1512.5016800707458,-490.4153206606017
-11034.629775099605,-7520.261009872405,-5840.997261685522,-7380.297759052818,-11581.139656208057,-14999.345438159897,-14461.015526021964,-10532.960379347725,-6123.39250600383,-3113.367565475319,-1520.5378207672666,-581.3320606851836
-9324.563019809137,-6579.694491312499,-6391.09635053581,-9696.313770833462,-14654.113693051917,-17017.903737169847,-14605.212021232628,-9579.662204917124,-5215.54347560901,-2745.601100846909,-1571.7120231887402,-698.073656668545
-6998.4685368214095,-5619.931468083029,-7294.479271919731,-12173.040033776528,-17104.152010562877,-17713.051939705267,-13464.778801928689,-7903.493410054635,-4086.847294215782,-2388.818305259108,-1678.507307116563,-834.0871237192151
-4417.927945361316,-4842.875603152327,-8445.228000483508,-14344.521400261656,-18356.869013320127,-16806.849255602006,-11144.18889985457,-5735.977956091747,-2892.162317123585,-2099.5502398966214,-1842.814910672336,-977.4067228233176
-1978.1119348828802,-4365.225811410643,-9605.291887266516,-15719.69775947866,-18040.00936208274,-14348.52028609665,-7979.500418203586,-3382.6467723836595,-1783.2498367134679,-1918.256494566615,-2054.6035064693765,-1112.406602761908
1.5496800377917457,-4184.118431686997,-10473.465427750334,-15933.60148622297,-16103.572069752247,-10702.784111307641,-4443.325245884284,-1147.7825616497041,-879.014402761823,-1863.0658677623028,-2293.3423410490054,-1222.774060251609
1350.0932564001407,-4193.54919228209,-10784.539340528861,-14859.681054426435,-12829.986747375751,-6436.967342093282,-1018.1345035381264,730.1052854446143,-248.31268936324355,-1929.1868599198433,-2531.86295003793,-1294.8969124288321
2058.3577799127256,-4238.6190927461585,-10393.721383443202,-12637.240252889847,-8736.188564456306,-2158.986597060248,1913.2906659589407,2113.4318529722805,92.25640918282488,-2093.2560151858174,-2741.599607486527,-1320.63582191376
2239.9337203934965,-4178.1406217580325,-9312.00020630029,-9611.013836751423,-4417.517931600616,1628.1301740395081,4127.142777181796,2967.3924247803825,168.57880596849688,-2320.612710663243,-2897.794989349498,-1298.6534919240357
2067.024670759878,-3928.236899033944,-7685.691600405061,-6218.916575597345,-399.3316376648838,4609.743546514974,5561.600637778665,3337.279126334819,33.17675901107424,-2573.1416213580846,-2983.401191197147,-1234.0104989114238
1710.6902605982668,-3475.0079564578987,-5738.99949306576,-2877.7998457228437,2956.326482519859,6671.483199211636,6279.720587820907,3315.4328112565613,-250.8613164807663,-2815.7944903251887,-2990.9334045169735,-1136.3507514726793
1303.2895286899125,-2860.9633656820824,-3708.5388711750893,95.52281548709111,5476.046410480489,7858.890138875371,6416.618852966663,3010.2138515295546,-622.3189615097897,-3020.7846028136164,-2922.1966195961886,-1017.4098534029592
926.0564481318257,-2158.7245365059125,-1792.9112082312072,2515.2949342610973,7147.758335677576,8315.028510143831,6131.0813549380555,2523.865617762293,-1029.2638391750334,-3169.3139331995685,-2786.3593000832443,-888.6457791967184
