t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
-3876.0610193685134,-3080.14368963028,-2792.087005062464,-3137.4752006916915,-3605.9642609373245,-3664.6982904409033,-3095.9978202721713,-2463.4016716442147,-1956.7626027763497,-1301.748999590714,-643.6285460922211,-432.515223088563,-515.7140366619437,-477.07623102046705,-170.09976710998282
-3494.0426418371294,-2734.356333576229,-2518.5350689075494,-2904.071218108104,-3380.245652319017,-3426.628523381929,-2857.542031817027,-2231.567206503189,-1693.762093821918,-1019.1857261240098,-456.2062106616233,-365.90067938601055,-496.4283629761487,-447.9350253658778,-146.20411282364032
-3095.181347167861,-2386.294386869899,-2238.3856940814085,-2648.538557167272,-3118.9954134356653,-3149.2222926970617,-2590.8319776362255,-1984.509748336751,-1433.4342889671639,-772.6798222553757,-319.97886729712445,-324.6236972097554,-476.01980124115966,-406.0052298893062,-119.08883751680445
-2694.632838622382,-2047.1876750649253,-1959.8850613152583,-2379.536488354004,-2832.3754847785203,-2844.3682116638524,-2307.2975413593786,-1732.0638874922015,-1185.4314521923525,-566.4373679049258,-224.6690895460875,-295.69690851780166,-445.62540151173096,-349.5261630903027,-89.55975549002146
-2292.641275679269,-1714.3463287133798,-1679.544052377904,-2095.511936507588,-2521.5053593976236,-2516.1508390450545,-2010.9468567687652,-1476.5154935422117,-950.9278677477917,-394.91883129676256,-154.5750485260714,-265.19929228920597,-397.0321292912182,-278.71667366092265,-58.6536495560224
-1879.332164616666,-1376.0393394947657,-1386.3688654268371,-1788.2149992812588,-2181.489970685302,-2163.2529428232656,-1700.3636675405094,-1214.7787652489412,-725.3796668355492,-246.92308671441776,-92.68393985789473,-220.39138422333536,-324.3939585562633,-196.0564719984799,-27.49823410519459
-1441.2959932975787,-1017.5887821890861,-1067.2866327514284,-1447.8068963896883,-1806.3244820866043,-1783.1739567410611,-1372.2837898433907,-941.7697349903048,-501.91758911942566,-109.43228029031091,-23.74764301666658,-151.65297119752304,-226.02278121595762,-106.16586414767255,2.807336357769834
-967.00409355543,-626.209711213842,-711.6029256612811,-1067.3326896238798,-1393.3250161177755,-1376.0194491700722,-1024.8097507238326,-653.2675270039997,-273.92853194001793,29.59805321720713,63.59044793358238,-54.249695696489496,-105.69831545088226,-15.210354893992616,31.251737789230017
-450.3314340934545,-194.2368613838374,-314.004400245914,-645.6559045273727,-945.8186450521497,-946.5900613307218,-659.3195854348353,-347.7310798573463,-36.82998723374543,179.0657927717013,175.18016229114647,70.30678522008652,27.235283791504614,70.15508100664914,56.93027026379001
106.905973323434,278.3375639238045,123.29004252535557,-189.1036830456679,-474.08603479907816,-504.79307560704945,-281.2590914605976,-27.49144968267126,210.32280711410124,342.7709732405764,310.29025777016307,213.9169785589442,159.54776903071883,144.1280065088747,79.08030921902527
