t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
-5528.308618628056,-18426.468071179064,6387.276967093896,22838.01882077145,22908.08519447452,19312.73730787677,12209.33076217185,-965.1520938622709,-11023.907045863027,-12403.410525689178,-8640.916664393204,-1332.1820052371747,2120.2556340485603,396.34615642531946
4410.580945014171,-24270.095107744422,788.1461078245679,21253.129485213554,23116.98674269091,19811.441290198258,12144.78392128177,-2073.3523893483775,-11923.408384489556,-12416.992616420788,-6701.828930138402,1661.750158231162,3143.1093967077168,413.1904551875866
9753.782203157092,-17900.730623484495,-44.954155328944736,17623.836041067334,20199.60284192779,18673.314253328546,12763.287322711907,-1290.513624426781,-11221.140449240916,-10789.999148710802,-2997.190100827984,4549.84360144603,3004.7225640580973,34.93179742267614
5165.590754591649,-5773.193326987033,4060.566920792149,14778.92904916755,16856.242771733767,16969.028910780813,12135.145685057068,-1696.5049182123435,-10642.449941098135,-8907.241308016684,-204.55447634013277,5100.748144564478,1705.1531497974183,-486.7712773922127
-2549.3097703697636,-986.1756024771477,10751.838237877364,16493.79004811104,16433.392092688788,16043.60407958462,9474.220788231794,-4490.034294041484,-11246.977366332974,-8524.090077065246,-268.54119202962244,3730.8006102847444,650.2621715134946,-701.3777728576039
-2770.61919506505,-11519.582560242394,11710.617749181787,21091.57785393154,19416.609146035502,16283.422360982688,5702.337435244469,-8417.248672456059,-12745.98918358314,-9753.020418990358,-1947.479782039016,2786.840372869989,787.5057098119536,-481.3114733247277
4921.621522525189,-23546.65370066939,4552.197697724636,21554.477829106243,21135.597307178472,15792.290337884036,2176.690155492945,-11165.226779479159,-13638.562677783177,-10639.178691261412,-2466.819926659695,3246.8031953567056,1505.9773574691176,-111.27649996575911
11219.263278590037,-21533.230946811564,-1689.6439141005005,16542.98022396878,18486.6354776538,13411.270424331085,23.815205871962917,-11257.984341804346,-12553.763453450234,-9338.222992747395,-1070.243645928762,3735.878968200569,1665.0360277738946,85.88422250989959
9839.202919586254,-10352.44127251085,-1085.0987504439681,11101.576820603876,13698.994276907777,10242.771461033097,-646.9097671727056,-9245.78753977576,-9696.968268685496,-6260.374300257818,421.7179783909467,2852.847237356872,1022.0455435244834,59.500034969351304
4537.034941564751,-2421.3322452594457,2987.4972406945467,8650.737855960599,10206.075045536885,7756.76440914944,-836.27856087176,-7083.665991573656,-6747.730077333073,-3541.056232702997,335.60738184028895,1099.783721355736,285.32824315705227,-18.90759864156854
3475.665805280868,-1497.8399036098624,6338.447688534578,9187.311365457583,9455.318069836356,6637.169854655564,-1495.317403695679,-6372.46358956449,-5339.688820193732,-2733.3476459662447,-791.3919511338308,123.96494376509679,173.53699812811635,21.258735532971855
9739.807083417747,-5497.344585900491,7883.246062868476,11694.353045271859,11209.885455940454,6930.811498298107,-2659.7452201289734,-7229.247072829886,-5764.462816642497,-3430.5035360474512,-1063.4705119364276,777.6277339053283,734.7519449443806,212.18183145714107
18619.054669259975,-11366.255897725283,7087.548103974591,14429.699720586836,13949.822639644271,7945.859843162526,-3799.675290149862,-8613.401434823323,-7037.897011728347,-3994.481189421592,486.56466464367986,2330.8940530934215,1448.6971916442194,459.7492364258494
23260.485644770622,-14807.11820143767,4322.9800168896045,15323.71848392926,15461.158436299926,8404.805580970427,-4605.042277692356,-9477.35355038143,-7948.982079541478,-3308.3058429189878,2868.5252510319365,3407.6269189288005,1797.4725025886491,643.7709722896727
21344.03001320201,-12713.991952558476,2154.20364275425,13792.739569777299,14491.283926998001,7370.453140061392,-5229.37144454832,-9490.858608795212,-7911.144447880996,-1770.1953769707864,4287.456586247584,3356.170982143261,1679.5904202635327,705.6742809022548
16211.447852002573,-6962.290280992626,2478.6252958448913,11221.269618516271,11839.851949010119,5040.76346716676,-5853.91289434502,-8818.40445727519,-7130.9144430432625,-807.6279518746234,3956.8022299578006,2628.757756088393,1347.833449499994,655.6259613865677
13199.731822160165,-3157.397652819679,4180.8543284985,9708.967694357738,9489.734186887532,2517.705848237963,-6288.4985251143335,-7729.45873818106,-6505.0954572197825,-1508.9997530182322,2725.7767050533994,2143.550021833274,1100.5455810365506,531.5790138116166
15572.983376378827,-4422.395338260298,6023.251662900628,10052.689280859133,8223.859719506747,422.616856303271,-6525.0746496369575,-6962.385890762477,-7323.390648168191,-3381.1739928116385,2293.21166426688,2541.228801606156,1109.4293300311813,388.2695967737733
23056.679510507096,-6477.090242595806,7047.907003082044,9750.066113966275,6355.90580484469,-2413.3686389831996,-7932.576783509815,-8243.4204218547,-10162.910760197434,-4149.617125891163,3900.856254245489,3911.1963696040743,1464.9387020976678,305.6847504735548
32987.96233331488,-7847.879642441578,2913.983663232452,7276.53663915806,3684.5864418185265,-7181.715404924227,-12568.446915662833,-12962.319176138828,-13343.338909644754,-1362.3350604926134,7397.941936376695,5926.343175755149,2180.6716303161775,321.9473798243015
41315.95688022198,-19091.957890450103,-3095.5461781183562,10313.25006516305,5920.947313219919,-11160.824826747683,-19646.685731989695,-19405.964154774047,-13562.467747292005,4942.955676217085,11310.093817335823,8011.510028844499,2946.9859333274867,323.70993728176296
42525.178127957464,-32545.849015817577,5196.305735833102,24854.128275692266,16638.792508587234,-9902.498214405354,-24713.7973340047,-23307.913572938927,-9566.510832228058,11561.001722914625,13861.46905043665,9325.190272972826,3023.635119690918,120.39350855862949
32561.61147566715,-23017.99785333635,25339.805085353637,38738.75742961678,27760.00700842114,-4656.322059792414,-24887.44591110773,-22619.477240057156,-4086.834688108599,14933.94801225009,14085.302366867492,8974.92785351083,1859.2150790578726,-289.8699761535055
14477.734564532791,205.45152962194263,35305.404264697405,39363.509669807754,30179.316108466388,-1216.2728625179243,-22263.268241741956,-19639.714662529084,-786.5773451029254,14349.39222816466,12337.715949185334,6793.073334652674,-158.44791631786944,-663.7260208769299
-2122.816255570896,13340.332792544714,31456.16744669991,31729.994789066695,25907.904688644307,-1572.208008744355,-20226.72374657337,-17617.501653133182,-447.48350801383447,12104.185705641754,10061.306586368168,3758.0754394025507,-2032.1042382874964,-797.3709308557256
-9255.323715501645,13724.384809978705,22246.11797721551,22892.749504177023,20022.90253313144,-3375.242895024967,-19494.041944837125,-17318.833869164027,-930.4117409170182,11104.075724729786,8828.280965401975,1226.4148915368335,-3147.117379347781,-721.2505917475895
-6363.371813158046,1842.948583888763,9911.699771414627,13920.911864465179,12447.998864595122,-6277.334929545133,-19554.711488601202,-17651.971906322786,53.095980873395945,12513.64003569908,9241.380471892038,-144.12250347549067,-3572.6789884055775,-582.0050256172445
843.6789752875112,-17698.54154802666,2244.1607983154963,10628.790242488703,4683.13087446291,-11848.203550850285,-20919.579544097833,-17768.783438981856,2923.4085836768177,15293.981545333503,10631.69936439966,-605.8900735262405,-3636.633137160783,-477.8464415552919
4961.0499130464395,-28567.216629416893,9495.220475962738,18626.574896587666,2573.6950473489223,-18047.93012218511,-23324.53864323932,-17104.140022864565,6575.372308692494,17516.086092835038,11761.676629461335,-780.3406644853576,-3585.7126791009005,-445.6799324051798
1894.9985218042748,-18969.511584416035,26183.854378269516,30964.885046676405,7433.702944178869,-20258.945510845548,-24337.070011129334,-14880.319585341074,9626.528946180713,17889.254634513887,11750.449922010028,-1140.3080588667508,-3541.27187872164,-499.8034955167037
-5980.9381126079015,1674.9841398610847,35064.52657136085,35145.815206675754,13165.221138221346,-17269.474695685116,-22006.29483068689,-11010.581447931881,11129.151332924685,16276.568273723655,10419.370031236545,-1798.1214751589516,-3453.3417286653926,-602.8461295538251
