t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
-2553.1885633554944,-1413.9995480379976,-218.93215784018957,-33.33156846864331,-925.68611624861,-2181.228994194034,-3348.8564271004952,-3990.6173309766777,-3707.1792514287126,-2941.694756117227,-2409.5296157439752,-2255.6535763383486,-2386.126832669361,-2659.471670818737,-2765.765817456967,-2480.50222976261,-1934.444851079457,-1256.4730069374918
-4467.727801638005,-3525.600874257697,-2312.3887663660134,-1896.8023694620285,-2512.988672298364,-3513.425601054782,-4341.509054822277,-4482.742589602323,-3825.153493684388,-3129.7269068691776,-2931.029782681606,-3138.9682339199658,-3533.6548391084766,-3753.4221712987282,-3447.6457954001335,-2782.813332981299,-2059.9481916906752,-1245.3832709879973
-6688.905776138554,-5790.912553053116,-4422.3821082371505,-3777.06214559751,-4226.165602117469,-5087.431011192159,-5654.198447005734,-5338.769500103282,-4334.8467540203965,-3677.870135255119,-3723.1699390474355,-4166.932983629006,-4593.191636435098,-4461.36762160408,-3689.131724458132,-2838.5069109194224,-2094.1164427601084,-1196.1025739750808
-8860.65029136844,-7854.472207630013,-6254.1187409685635,-5451.143263431658,-5868.4177456878215,-6706.385429280168,-7095.244118073134,-6384.456924876112,-5069.567868654298,-4404.023421908364,-4573.186577309164,-5067.713195930241,-5250.672098025652,-4597.377539040503,-3519.2496175229644,-2723.172500242338,-2067.540329739435,-1112.7496317020068
-10637.674318530551,-9408.138800406876,-7573.851261385203,-6731.9786696019355,-7245.055846900705,-8152.816605605659,-8437.509116166944,-7402.059352993883,-5821.2168467328065,-5098.814756880736,-5259.636116004079,-5598.5796106833795,-5320.152866330826,-4184.997707277983,-3085.50345620938,-2529.872199449499,-2007.4991791503912,-998.7942224054245
-11786.136466035812,-10276.4638283462,-8270.17461377636,-7519.014530383648,-8221.070218674187,-9255.444241192166,-9489.772554545809,-8201.045400781328,-6407.426443544272,-5589.544767221459,-5619.799253881917,-5626.633613185691,-4807.008187320244,-3413.508325301619,-2566.7041598499227,-2334.1332293087617,-1931.1001105430587,-857.1570804094329
-12225.264217550852,-10438.930449991249,-8360.945222762062,-7809.315720182623,-8746.643727563162,-9925.898956110765,-10139.980381306108,-8663.495748108804,-6715.007365397103,-5779.076050047597,-5585.888619143909,-5157.880309247356,-3879.181864110594,-2529.4224142555745,-2102.762724940089,-2178.935721875417,-1843.4517615303357,-690.8502162605928
-12014.747477932284,-10002.964508638279,-7962.91808234396,-7679.50717338988,-8852.4791148912,-10161.917745060286,-10363.446825832483,-8755.209728120564,-6710.897553355933,-5652.930498883739,-5185.6714876852875,-4315.6566426096015,-2782.7276192334866,-1739.8460018483136,-1768.7720648887587,-2076.667287831041,-1739.7335591443416,-503.73941391828464
-11313.458014880967,-9155.69746350874,-7248.464774412211,-7255.827310207691,-8628.49457213983,-10029.72302191351,-10208.02753181035,-8513.289512186602,-6430.287330114228,-5264.352443407271,-4519.03347476467,-3289.2765131865463,-1752.3814931679294,-1165.794262235379,-1582.5281731091527,-2017.8737344871865,-1609.151499659115,-301.021311720634
-10324.764156999907,-8108.582232387943,-6399.556709112107,-6679.303453819261,-8193.17480361228,-9634.40688872867,-9766.295450108471,-8020.482719230319,-5951.5022545820075,-4706.25327370225,-3720.4467605705486,-2272.534688874513,-948.9486960761374,-840.4230464721238,-1523.3929286336263,-1979.1579536320035,-1439.1865240551815,-89.26326115535215
-9237.930126063482,-7043.301538700799,-5564.6943171398,-6070.03089169613,-7658.002225285447,-9083.511244166377,-9140.433014401473,-7372.302151920124,-5363.968289701774,-4077.044366950872,-2917.2252410278406,-1411.224404822191,-436.338376356348,-732.0680606327244,-1548.9919766032483,-1928.3635800246184,-1219.519520916937,123.89732291500695
-8182.756138902745,-6074.1768878239245,-4830.562244659357,-5500.839672466179,-7097.738299272164,-8454.861943435764,-8410.394969311947,-6646.770879338135,-4739.264624812973,-3451.6364910595507,-2198.202184977107,-777.3283986467097,-195.07037123853544,-773.679988126383,-1606.2268831156123,-1828.9756725306877,-945.5851713963838,330.2484971823323
-7211.52344517251,-5237.396725912401,-4215.898088355287,-4988.69087354658,-6537.157036381531,-7780.667151357377,-7617.329607237205,-5887.769420642933,-4115.377722961439,-2867.323008969854,-1602.2973262759829,-372.5349750685132,-154.0290128321255,-886.0910055158187,-1637.9749007975765,-1646.3498408420467,-621.5104605800055,521.5865885024608
-6304.695054945619,-4500.643319173436,-3681.431431391216,-4500.897382694562,-5954.200844760911,-7049.623570205882,-6764.672119074468,-5104.150909617549,-3495.370757215067,-2323.972200757204,-1122.9987059874015,-147.6039749607226,-220.39668748311954,-991.2528835263837,-1588.9338237013094,-1356.9461261185247,-261.64803066321696,690.2762864337535
