q1,q2,q3,q4,q5,q6,q7,q8,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8
0.49694461225076075,0.8624794383348057,0.9999441017272083,0.8729880684317174,0.5151830178199499,0.021145299543639178,-0.47848398612863446,-0.8515851301301949,0.8677822609128059,1.0121842094197642,0.03171972239315397,-1.9509662524025744,-4.285400967674814,-5.998658478948402,-6.146673952301699,-4.1937306819862545,-0.49694461225076075,-3.4499177533392227,-8.999496915544874,-13.967809094907478,-12.879575445498748,-0.7612307835710104,23.445715320303087,54.50144832833247
0.5055986759101365,0.8724295121181009,0.9998112270024833,0.852782325934675,0.47169671794783696,-0.03885191607718688,-0.5387371589202296,-0.8907592935854861,0.862768786476375,0.9774799156716671,-0.05828887748190447,-2.089066028917021,-4.408804277457888,-5.995469875682533,-5.89731730588828,-3.635803126824868,-0.5055986759101365,-3.4897180484724037,-8.99830104302235,-13.6445172149548,-11.792417948695924,1.3986689787787276,26.398120787091248,57.00859478947111
0.5142021656747203,0.882030526007837,0.9987783325478478,0.8312119238104151,0.4270310850777356,-0.0987092668086148,-0.5963508436026865,-0.9242340099430386,0.8576690112248592,0.9423845312617101,-0.14824500631207777,-2.223822790477294,-4.52118472409979,-5.9706978908047095,-5.619067351027557,-3.054612196553781,-0.5142021656747203,-3.528122104031348,-8.98900499293063,-13.299390780966641,-10.67577712694339,3.553533605110133,29.22119133653164,59.15097663635447
0.5227542209568428,0.8912786386290493,0.9968463481642111,0.8083113799611343,0.3812977919279735,-0.1582112692823853,-0.651042767767049,-0.9517950940954218,0.85248344527727,0.9069120978872174,-0.23806768652021443,-2.3550208934116124,-4.622261334755024,-5.924431702179883,-5.313287345172741,-2.4538765915947716,-0.5227542209568428,-3.5651145545161973,-8.971617133477901,-12.93298207937815,-9.532444798199338,5.695605694165871,31.901095620585398,60.914886022107
0.5312539863137096,0.9001701498029123,0.9940170130039416,0.7841173408400745,0.33461118057401235,-0.2171437193655936,-0.7025449738738969,-0.9732661988047068,0.8472126073340699,0.8710768081031713,-0.3276760606582282,-2.4824503887695815,-4.711781398353668,-5.85683786569534,-4.981475426471735,-1.8374400672977529,-0.5312539863137096,-3.6006805992116493,-8.946153117035475,-12.545877453441191,-8.36527951435031,7.81717389716137,34.42470371982095,62.28903672350123
0.5397006115329698,0.9087015020271859,0.9902928740052992,0.7586685228082618,0.2870879765711482,-0.2752944632845005,-0.7506051320841572,-0.9885099430451757,0.8418570246252854,0.8348929996437537,-0.4169894641941461,-2.60590735829171,-4.789521097427914,-5.768159715668105,-4.625257273791083,-1.2092468400011218,-0.5397006115329698,-3.6348060081087437,-8.912635866047692,-12.138696364932189,-7.1771994142787054,9.91060067824202,36.7796514721237,63.264636354891245
0.5480932517177604,0.9168692818995744,0.9856772835997081,0.7320056501788912,0.23884699711805643,-0.3324541613671458,-0.7949877765235741,-0.9974287910240556,0.8364172328577717,0.7983751496858071,-0.5059274981254791,-2.72519424072833,-4.855286067699017,-5.658716488853991,-4.246378141867147,-0.5733163503011404,-0.5480932517177604,-3.6674771275982976,-8.871095552397373,-11.712090402862259,-5.97117492795141,11.968349809217248,38.95440104965513,63.83544262553956
0.5564310673712197,0.924670221483433,0.9801743966939325,0.704171390048496,0.190008853990819,-0.38841704165534746,-0.8354754589238963,-0.9999656762559394,0.8308937761616253,0.7615378690565007,-0.5944101013535765,-2.840120147985768,-4.908911884025562,-5.528902175211774,-3.8466943106073996,0.06628245499470048,-0.5564310673712197,-3.698680885933732,-8.821569570245392,-11.266742240775937,-4.750221349770475,13.98301349959251,40.938297487270916,63.99780328038012
0.56471322448046,0.9321011996152714,0.9737891669298732,0.6752102840191931,0.140695651990168,-0.44298164067311174,-0.8718698139886283,-0.996104366697809,0.8252872070357576,0.7243958963875263,-0.6823576227537959,-2.9505011705938244,-4.950264471498118,-5.379184099559718,-3.428163990435158,0.7054571576755282,-0.56471322448046,-3.7284047984610855,-8.764102502368859,-10.80336454430709,-3.5173912997542,15.947339064232022,42.72162088544279,63.750679468659776
0.5729388945999925,0.9391592431535355,0.9665273422253495,0.645168676921258,0.09103068365587073,-0.4959515286847351,-0.9039925312636963,-0.9858695686083735,0.8195980862926284,0.686964092218155,-0.7696908928766271,-3.056160672005772,-4.979240440652432,-5.210101239230374,-2.992837728236081,1.3401180531147738,-0.5729388945999925,-3.756636972614142,-8.698746080028146,-10.322698830740128,-2.2757670913967685,17.854255032650464,44.29563403192112,63.0956523909359
